36.1127564	,139.9815682
36.1127711	,139.9815098
36.1127819	,139.9814669
36.1127976	,139.9814086
36.1128095	,139.981359
36.1128252	,139.9813006
36.112838	,139.981243
36.1128583	,139.9811807
36.1128892	,139.9811331
36.1129293	,139.9810975
36.1129802	,139.9810761
36.1130538	,139.9810676
36.1131075	,139.9810629
36.1131633	,139.9810562
36.1132126	,139.9810542
36.1132629	,139.981071
36.1132992	,139.9811025
36.1133231	,139.9811286
36.1133453	,139.9811742
36.1133588	,139.9812225
36.1133659	,139.9813325
36.1133744	,139.9814447
36.1133836	,139.9815554
36.1133901	,139.9816647
36.113395	,139.9817733
36.1133874	,139.981833
36.1133739	,139.9818712
36.1133528	,139.981902
36.11333	,139.9819282
36.1133045	,139.9819456
36.1132747	,139.981961
36.1132401	,139.9819684
36.1131801	,139.9819735
36.1131221	,139.9819802
36.113075	,139.9819862
36.1130306	,139.9819896
36.1129835	,139.9819943
36.1129257	,139.9819993
36.1128937	,139.9820047
36.1128585	,139.9820054
36.1128303	,139.9819966
36.1128032	,139.9819879
36.112781	,139.9819718
36.1127572	,139.9819497
36.1127361	,139.9819209
36.1127225	,139.9818907
36.1127106	,139.9818511
36.1127052	,139.9818082
36.1127084	,139.9817579
36.1127245	,139.9816949
36.1127413	,139.9816258
36.1127564	,139.9815682